phage,Tailed?,tailMorphology,family,mainHost,hostTaxID,hostCanonicalName,gramStain,receptorLocation,HOST receptors,receptorDomain,domainClass,hostRange,hostRangeBasis,hostRangeConfidence,hostRangeNote,references,doi,comments,verified,Host Receptor has a Gen Bank?,If yes-Link,hostReceptorAccession,genBankTier,genBankGene,Does the Phage RBP have a Uniprot?,"If yes, link",phageRBPAccession,uniProtTier,uniProtProtein,source,sourceCitation,dateRetrieved,needsReview,reviewReasons,_domainNote,_gbNote,_upNote,_taxNote,_gbRecordOrganism,_gbRecordTitle,_upRecordOrganism,_doiStatus,_doiTitle,_litStatus,_litNote,domainConfidence,genBankConfidence,uniProtConfidence
F386,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,flagella,rotating flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,,,,,high,medium,none
P113g,yes,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Mahony et al. 2013,10.1128/AEM.00653-13, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/Q71AV2,Q71AV2,specific RBP,Putative receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,,,Lactococcus lactis,Lactococcus lactis strain L81 chromosome,Lactococcus lactis phage P113G,,,,,none,medium,high
ϕLC3,yes,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,cell wall polysaccharides subtype C2,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Ainsworth et al. 2014,10.1128/mBio.00880-14, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Lactococcus lactis,Lactococcus lactis strain L81 chromosome,,,,,,none,medium,none
N3,yes,contractile,Myoviridae,Sinorhizobium meliloti,382,Sinorhizobium meliloti,Gram negative,cell wall,outer membrane porin RopA1,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Crook et al. 2013,10.1128/JB.00480-13, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP021219.1,NZ_CP021219.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: gene(s) RopA1 not found,phage present in UniProt but no tail/RBP protein annotated,,Sinorhizobium meliloti RU11/001,"Sinorhizobium meliloti RU11/001 chromosome, complete genome",,,,,,high,medium,none
φAcM2,yes,long non-contractile,Siphoviridae,Asticcacaulis biprosthecium,76891,Asticcacaulis biprosthecium,Gram negative,pili,pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Pate et al. 1979,10.1016/0042-6822(79)90435-5, ,Yes,no,,,none,,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,no GenBank record found for receptor or host genome,phage not found in UniProt,,,,,,,,,high,none,none
T6,yes,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,Outer membrane protein Tsx (involved in nucleoside uptake),Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Manning and Reeves 1976; Manning and Reeves 1978,"10.1128/jb.127.3.1070-1079.1976 (Manning and Reeves 1976), 10.1007/bf00267199 (Maning and Reeves 1978)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A346FJX9,A0A346FJX9,specific RBP,Long tail fiber protein Gp37,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Escherichia coli,"Escherichia coli strain 097H6 chromosome, complete genome",Enterobacteria phage T6,,,,,high,medium,high
SPN8TCW,yes,short,Podoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Shin et al. 2012,10.1371/journal.pone.0043392, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",,,,,,high,medium,none
Weirdo19ES,yes,long non-contractile,Siphoviridae,Mycobacterium smegmatis,1772,Mycolicibacterium smegmatis,Acid fast,cell wall,glycopeptidolipids,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Suarez et al. 2020,10.1371/journal.pone.0231881, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP027541.1,NZ_CP027541.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,phage not found in UniProt,taxonomic synonym applied: Mycobacterium smegmatis -> Mycolicibacterium smegmatis,Mycolicibacterium smegmatis MKD8,"Mycolicibacterium smegmatis MKD8 chromosome, complete genome",,resolved,Weirdo19ES is a novel singleton mycobacteriophage that selects for glycolipid deficient phage-resistant M. smegmatis mutants,corroborated,2 independent record(s) link Weirdo19ES to N/A,none,medium,none
PRR1,no,"none (icosahedral, ssRNA)",Leviviridae,"Escherichia coli, Pseudomonas aeruginosa",562,Escherichia coli,Gram negative,pili,R pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Bradley 1974,10.1016/0006-291x(74)90630-5, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Escherichia coli,"Escherichia coli strain 097H6 chromosome, complete genome",,,,,,high,medium,none
φNP,yes,contractile,Myoviridae,Citrobacter rodentium,67825,Citrobacter rodentium,Gram negative,cell wall,LPS GlcII residue,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Magaziner et al. 2019,10.1128/JB.00638-18, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP038008.1,NZ_CP038008.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Citrobacter rodentium,"Citrobacter rodentium strain DBS100 chromosome, complete genome",,,,,,high,medium,none
B1 (alternate family),yes,long non-contractile,Siphoviridae,Lactobacillus plantarum,1590,Lactiplantibacillus plantarum,Gram positive,cell wall,Galactose component of the wall polysaccharide,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Douglas and Wolin 1971,10.1021/bi00785a007, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP185953.1,NZ_CP185953.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,phage not found in UniProt,taxonomic synonym applied: Lactobacillus plantarum -> Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,"Lactiplantibacillus plantarum strain BLP3 chromosome, complete genome",,,,,,none,medium,none
φMAM1,yes,contractile,Myoviridae,Serratia plymuthica,82996,Serratia plymuthica,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Matilla and Salmond 2014,10.1128/AEM.01546-14, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ405148.1,NZ_OZ405148.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/K7YGQ9,K7YGQ9,specific RBP,Putative tail spike protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Serratia plymuthica,"Serratia plymuthica isolate PAMC22778 chromosome 1, complete sequence",Serratia phage phiMAM1,,,,,high,medium,high
PO4,yes,long non-contractile,Siphoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,pili,pilus,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Bradley 1973,10.1016/0042-6822(73)90448-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Pseudomonas aeruginosa,"Pseudomonas aeruginosa strain PA3 isolate PA3 chromosome 1, complete sequence",,,,,,high,medium,none
IME281,yes,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,OmpF,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Li et al. 2019,10.3389/fmicb.2019.00850, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/GQ465827.1,GQ465827.1,specific gene,OmpF,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene OmpF,phage present in UniProt but no tail/RBP protein annotated,,Escherichia coli,"Escherichia coli strain EC-454/03 outer membrane protein F (ompF) gene, complete cds",,,,,,high,high,none
FC3-1,yes,contractile,Myoviridae,Klebsiella pneumoniae,573,Klebsiella pneumoniae,Gram negative,cell wall,lipopolysaccharide,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Tomas and Jofre 1985,10.1128/jb.162.3.1276-1279.1985, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ477362.1,NZ_OZ477362.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Klebsiella pneumoniae,Klebsiella pneumoniae strain 49856 isolate 49856 chromosome 1,,,,,,high,medium,none
SPN6TCW,yes,short,Podoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Shin et al. 2012,10.1371/journal.pone.0043392, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",,,,,,high,medium,none
M,no,"none (icosahedral, ssRNA)",Leviviridae,Escherichia coli,562,Escherichia coli,Gram negative,pili,M pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Coetzee et al. 1983,10.1099/00221287-129-7-2271, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A6S6ML91,A0A6S6ML91,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence UniProt assignment | ambiguous phage name across organisms,,host genome fallback: no gene symbol in receptor,"AMBIGUOUS phage name across organisms, none match host 'Escherichia coli': Pseudomonas phage vB_PaeS-Yazdi-M, bat alphacoronavirus BtCoV/020_16/M.dau/FIN/2016",,Escherichia coli,"Escherichia coli strain 097H6 chromosome, complete genome",Pseudomonas phage vB_PaeS-Yazdi-M,resolved,Bacteriophage M: an Incompatibility Group M Plasmid-specific Phage,corroborated,8790 independent record(s) link M to pili,high,medium,low
5,yes,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,"rhamnose in carbohydrates in cell wall for reversible binding, Pip (phage infection protein)  for irreversible binding",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Monteville et al. 1994,10.1128/aem.60.9.3204-3211.1994, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,receptor text does not support domain 'Membrane Proteins',,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Lactococcus lactis,Lactococcus lactis strain L81 chromosome,,resolved,Lactococcal Bacteriophages Require a Host Cell Wall Carbohydrate and a Plasma Membrane Protein for Adsorption and Ejection of DNA,corroborated,32306 independent record(s) link 5 to Membrane Proteins,high,medium,none
φ812,yes,contractile,Myoviridae,Staphylococcus aureus,1280,Staphylococcus aureus,Gram positive,cell wall,anionic backbone of wall teichoic acid,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Xia et al. 2011,10.1128/JB.01412-10, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP195878.1,NZ_CP195878.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A0U1WIJ9,A0A0U1WIJ9,specific RBP,Receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Staphylococcus aureus,"Staphylococcus aureus strain A_1d chromosome, complete genome",Staphylococcus phage 812,,,,,high,medium,high
TLS,yes,long non-contractile,Drexlerviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,TolC and LPS,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,German et al. 2001,10.1006/jmbi.2001.4578, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/FJ768952.1,FJ768952.1,specific gene,TolC,yes,https://www.uniprot.org/uniprotkb/A5PJ08,A5PJ08,specific RBP,Tail fiber,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence domain assignment,"multi-domain unresolved, took first-mentioned; all: LPS, Membrane Proteins",specific receptor gene TolC,,,Escherichia coli,"Escherichia coli strain 0919S911 TolC (tolC) gene, complete cds",Escherichia phage Tls,resolved,The TolC protein of Escherichia coli serves as a cell-surface receptor for the newly characterized TLS bacteriophage 1 1Edited by B. Holland,corroborated,61 independent record(s) link TLS to TolC,low,high,high
PVP-SE1,yes,contractile,Myoviridae,Salmonella enterica,28901,Salmonella enterica,Gram negative,cell wall,LPS inner core,LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,Santos et al. 2011,10.1128/JVI.01769-10, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP186307.1,NZ_CP186307.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Salmonella enterica,"Salmonella enterica strain CUVET24-78 chromosome, complete genome",,,,,,high,medium,none
mEp543,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,,,,,high,high,none
