phage,tailed,tail_morphology,family,main_host,host_taxid,host_canonical_name,gram_stain,receptor_location,host_receptor,receptor_domain,domain_class,host_range,host_range_basis,host_range_confidence,host_range_note,reference,doi,comments,verified,has_genbank,genbank_link,genbank_accession,genbank_tier,genbank_gene,has_uniprot,uniprot_link,uniprot_accession,uniprot_tier,uniprot_protein,source,source_citation,date_retrieved,needs_review,review_reasons,domain_confidence,genbank_confidence,uniprot_confidence
5,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,"rhamnose in carbohydrates in cell wall for reversible binding, Pip (phage infection protein)  for irreversible binding",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Monteville et al. 1994,10.1128/aem.60.9.3204-3211.1994, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,receptor text does not support domain 'Membrane Proteins',high,medium,none
φ812,True,contractile,Myoviridae,Staphylococcus aureus,1280,Staphylococcus aureus,Gram positive,cell wall,anionic backbone of wall teichoic acid,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Xia et al. 2011,10.1128/JB.01412-10, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP195878.1,NZ_CP195878.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A0U1WIJ9,A0A0U1WIJ9,specific RBP,Receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
TLS,True,long non-contractile,Drexlerviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,TolC and LPS,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,German et al. 2001,10.1006/jmbi.2001.4578, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/FJ768952.1,FJ768952.1,specific gene,TolC,True,https://www.uniprot.org/uniprotkb/A5PJ08,A5PJ08,specific RBP,Tail fiber,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,low-confidence domain assignment,low,high,high
PVP-SE1,True,contractile,Myoviridae,Salmonella enterica,28901,Salmonella enterica,Gram negative,cell wall,LPS inner core,LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,Santos et al. 2011,10.1128/JVI.01769-10, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP186307.1,NZ_CP186307.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
mEp543,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
IF2,False,none (filamentous),Inoviridae,Escherichia coli,562,Escherichia coli,Gram negative,pili,I pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Meynell and Lawn  1968,10.1038/2171184a0, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
B3 (alternate family),True,contractile,Myoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,pili,pilus,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Roncero et al. 1990,10.1128/jb.172.4.1899-1904.1990, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
mEp123,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
ϕX216,True,contractile,Myoviridae,Burkholderia mallei,13373,Burkholderia mallei,Gram negative,cell wall,O-antigen of LPS,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Kvitko et al. 2012,10.1186/1471-2180-12-289, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP009731.1,NZ_CP009731.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/K4NZW8,K4NZW8,specific RBP,Putative phage tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,UniProt organism 'Burkholderia phage phiX216' does not name phage 'ϕX216',high,medium,high
φOT8,True,long non-contractile,Siphoviridae,Serratia marcescens,615,Serratia marcescens,Gram negative,flagella,rotating flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Evans et al. 2010,10.1099/mic.0.032797-0, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP192733.1,NZ_CP192733.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
LP-125,True,contractile,Myoviridae,Listeria monocytogenes,1639,Listeria monocytogenes,Gram positive,cell wall,N-acetylglucosamine in the wall teichoic acid,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Denes et al. 2015,10.1128/AEM.00087-15, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP190322.1,NZ_CP190322.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/S4U6W5,S4U6W5,specific RBP,Receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
Pf,False,none (filamentous),Inoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,pili,pilus,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Bradley 1973b,10.1139/m73-103, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A0A0YX94,A0A0A0YX94,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
KSF-1φ,False,none (filamentous),Inoviridae,Vibrio cholerae,666,Vibrio cholerae,Gram negative,pili,MSHA pilus,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Faruque et al. 2005,10.1128/JB.187.12.4095–4103.2005, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP191367.1,NZ_CP191367.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
S125,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,"BtuB, vitamin B12 membrane transporter",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M89481.1,M89481.1,specific gene,BtuB,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
OMKO1,True,contractile,Myoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,outer membrane,OprM,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Chan et al. 2016,10.1038/srep26717, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/L11616.1,L11616.1,specific gene,OprM,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
APK32,True,short,Autographiviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Popova et al. 2021,10.1128/JVI.01714-20, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
HK620,True,short,Podoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Broeker et al. 2018,10.3390/v10060289, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/Q9AYY6,Q9AYY6,specific RBP,Tail spike protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
ES18,True,long non-contractile,Siphoviridae,Samonella enterica,28901,Salmonella enterica,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Casjens et al. 2005,10.1128/JB.187.3.1091–1104.2005, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/Y14067.1,Y14067.1,specific gene,FhuA,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
PP01,True,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,OmpC and R core and lipid A components of LPS,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,"Morita et al. 2002, Mizoguchi et al. 2003","10.1111/j.1574-6968.2002.tb11206.x (Morita et al), 10.1128/AEM.69.1.170–176.2003 (Mizoguchi et al)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/GQ167032.1,GQ167032.1,specific gene,OmpC,True,https://www.uniprot.org/uniprotkb/A0A2Z5WLD4,A0A2Z5WLD4,specific RBP,Long tail fiber protein Gp37,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,low-confidence domain assignment,low,high,high
S139,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,"BtuB, vitamin B12 membrane transporter",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M89481.1,M89481.1,specific gene,BtuB,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
F364,True,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
PM1,True,contractile,Myoviridae,Aeromonas hydrophila,644,Aeromonas hydrophila,Gram negative,cell wall,O antigen of LPS,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Merino et al. 1991,10.1139/m92-040, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP118942.1,NZ_CP118942.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A088DPD4,A0A088DPD4,specific RBP,Putative tail fiber,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,low-confidence UniProt assignment | ambiguous phage name across organisms,high,medium,low
fPS-26,True,short,Podoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Salem et al. 2018,10.3390/v10040174, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
E79,True,contractile,Myoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,cell wall,LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Jarrell and Kropinski 1977,10.1128/jvi.23.3.461-466.1977, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
φ47,True,long non-contractile,Siphoviridae,Staphylococcus aureus,1280,Staphylococcus aureus,Gram positive,cell wall,α-GlcNAc residues of wall teichoic acid,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Xia et al. 2011,10.1128/JB.01412-10, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP195878.1,NZ_CP195878.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
BPP-1,True,short,Podoviridae,Bordetella pertussis,520,Bordetella pertussis,Gram negative,outer membrane,pertactin,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Liu et al. 2002,10.1126/science.1067467, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP054096.1,NZ_CP054096.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/Q775D6,Q775D6,specific RBP,Tail fiber receptor-binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,high
GH-K3,True,long non-contractile,Siphoviridae,Klebsiella pneumoniae,573,Klebsiella pneumoniae,Gram negative,cell wall,OmpC,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Cat et al. 2018,10.1128/AEM.01585-18, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/KJ481789.1,KJ481789.1,specific gene,OmpC,True,https://www.uniprot.org/uniprotkb/A0A3S7W7I0,A0A3S7W7I0,specific RBP,Putative tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,high
F379,True,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,flagella,rotating flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A7L8ZK14,A0A7L8ZK14,other tail protein,Putative baseplate hub subunit and tail lysozyme,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,medium
mEp506,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,"Uc-Mass et al. 2004, Hernandez-Sanchez et al. 2008","10.1016/j.virol.2004.09.005 (Uc-Mass et al), 10.1007/s00705-008-0111-0 (Hernandez-Sanchez et al)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
fd13,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Mahony et al. 2013,10.1128/AEM.00653-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/Q71AV9,Q71AV9,specific RBP,Putative receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,high
